Year,Processing Snapshot Date,Scholarship Name,Metric Type,Sector Type,TAP Sector Group,TAP College Code,Federal School Code,TAP College Name,College Region Name,Headcount Type,Headcount
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,930,2847,SUC ONEONTA,Mohawk Valley,Eligible Applicant(s),13
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,6015,2856,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3015,2856,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Eligible Applicant(s),29
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1409,7273,CUNY BARUCH COLLEGE,New York City,Eligible Applicant(s),3
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1410,2687,CUNY BROOKLYN COLLEGE,New York City,Eligible Applicant(s),3
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1411,2688,CUNY CITY COLLEGE,New York City,Eligible Applicant(s),20
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1417,2698,CUNY COL STATEN ISLAND,New York City,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1413,2689,CUNY HUNTER COLLEGE,New York City,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,New York City,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1416,2690,CUNY QUEENS COLLEGE,New York City,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1418,4759,CUNY YORK COLLEGE,New York City,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,955,2853,SUNY MARITIME COLLEGE,New York City,Eligible Applicant(s),2
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,945,2850,SUC POTSDAM,North Country,Eligible Applicant(s),4
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3010,2855,SUNY COLLEGE OF TECH AT CANTON,North Country,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,940,2849,SUNY PLATTSBURGH,North Country,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,174,2711,CORNELL UNIV STATUTORY COLLEGES,Southern Tier,Eligible Applicant(s),18
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2042,2863,CORNING COMMUNITY COLLEGE,Southern Tier,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,880,2836,SUNY BINGHAMTON,Southern Tier,Eligible Applicant(s),157
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,960,2668,ALFRED UNIVERSITY,Western New York,Eligible Applicant(s),6
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2065,10684,ERIE COMMUNITY COLL - ALL CAMPUS,Western New York,Eligible Applicant(s),1
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,905,2842,SUC BUFFALO,Western New York,Eligible Applicant(s),8
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,915,2844,SUC FREDONIA,Western New York,Eligible Applicant(s),9
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,1010,2837,SUNY BUFFALO,Western New York,Eligible Applicant(s),145
2015,09/25/2015,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),2
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2000,2860,ADIRONDACK COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2080,2868,HUDSON VALLEY COMMUNITY COLLEGE,Capital District,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2243,6785,SCHENECTADY COUNTY COMM COLLEGE,Capital District,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,895,2835,SUNY ALBANY (UNDERGRAD),Capital District,Eligible Applicant(s),25
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,6030,2859,MORRISVILLE STATE COLLEGE,Central New York,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,910,2843,SUC CORTLAND (UNDERGRAD),Central New York,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,950,2851,SUC ENV SCI&FORESTRY,Central New York,Eligible Applicant(s),16
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,935,2848,SUC OSWEGO (UNDERGRAD),Central New York,Eligible Applicant(s),16
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2256,7532,FINGER LAKES COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2180,2872,MONROE COMMUNITY COLLEGE,Finger Lakes,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,900,2841,SUC BROCKPORT (UNDERGRAD),Finger Lakes,Eligible Applicant(s),2
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,920,2845,SUC GENESEO,Finger Lakes,Eligible Applicant(s),33
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,925,2846,SUC NEW PALTZ,Hudson Valley,Eligible Applicant(s),6
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,970,6791,SUC PURCHASE,Hudson Valley,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2160,2881,WESTCHESTER COMMUNITY COLLEGE,Hudson Valley,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2113,2873,NASSAU COMMUNITY COLLEGE,Long Island,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,875,2838,SUNY STONY BROOK,Long Island,Eligible Applicant(s),86
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,930,2847,SUC ONEONTA,Mohawk Valley,Eligible Applicant(s),10
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3015,2856,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,6015,2856,SUNY COBLESKILL,Mohawk Valley,Eligible Applicant(s),2
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,4975,11678,SUNY POLYTECHNIC INSTITUTE,Mohawk Valley,Eligible Applicant(s),12
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1409,7273,CUNY BARUCH COLLEGE,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1410,2687,CUNY BROOKLYN COLLEGE,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1411,2688,CUNY CITY COLLEGE,New York City,Eligible Applicant(s),28
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1417,2698,CUNY COL STATEN ISLAND,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1413,2689,CUNY HUNTER COLLEGE,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1414,2693,CUNY JOHN JAY COLLEGE,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1405,2696,CUNY NYC COLLEGE OF TECHNOLOGY,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1416,2690,CUNY QUEENS COLLEGE,New York City,Eligible Applicant(s),4
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,1-CUNY SR,1418,4759,CUNY YORK COLLEGE,New York City,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,955,2853,SUNY MARITIME COLLEGE,New York City,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,945,2850,SUC POTSDAM,North Country,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3010,2855,SUNY COLLEGE OF TECH AT CANTON,North Country,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,6010,2855,SUNY COLLEGE OF TECH AT CANTON,North Country,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,940,2849,SUNY PLATTSBURGH,North Country,Eligible Applicant(s),5
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,174,2711,CORNELL UNIV STATUTORY COLLEGES,Southern Tier,Eligible Applicant(s),8
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,880,2836,SUNY BINGHAMTON,Southern Tier,Eligible Applicant(s),107
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,960,2668,ALFRED UNIVERSITY,Western New York,Eligible Applicant(s),1
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,4-SUNY CC,2085,2869,JAMESTOWN COMMUNITY COLLEGE,Western New York,Eligible Applicant(s),2
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,905,2842,SUC BUFFALO,Western New York,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,915,2844,SUC FREDONIA,Western New York,Eligible Applicant(s),6
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,1010,2837,SUNY BUFFALO,Western New York,Eligible Applicant(s),51
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,6005,2854,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),3
2014,09/25/2014,"NYS Science, Technology, Engineering and Mathematics Incentive Program",College,PUBLIC,3-SUNY SO,3005,2854,SUNY COLLEGE OF TECH AT ALFRED,Western New York,Eligible Applicant(s),5
